Question_codes,Question_codes(pt),Question_text,Question_text(pt),Question_conversion,Category,Subcategory,Group,Subgroup,Base_unit,Row
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Croissant/other pastries - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Croissant/other.pastries.-.Quantity.(in.pieces/slices)",Bread_Croissant_Quantity_pieces,Diet,Bread,Croissant,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Croissant/other pastries - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Croissant/other.pastries.-.Quantity.(in.grams)",Bread_Croissant_Quantity_g,Diet,Bread,Croissant,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Croissant/other pastries - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Croissant/other.pastries.-.Unit.of.time",Bread_Croissant_Time,Diet,Bread,Croissant,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Donut  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Donut..-.Quantity.(in.pieces/slices)",Bread_Donut_Quantity_pieces,Diet,Bread,Donut,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Donut  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Donut..-.Quantity.(in.grams)",Bread_Donut_Quantity_g,Diet,Bread,Donut,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Donut  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Donut..-.Unit.of.time",Bread_Donut_Time,Diet,Bread,Donut,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Focaccia  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Focaccia..-.Quantity.(in.pieces/slices)",Bread_Focaccia_Quantity_pieces,Diet,Bread,Focaccia,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Focaccia  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Focaccia..-.Quantity.(in.grams)",Bread_Focaccia_Quantity_g,Diet,Bread,Focaccia,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Focaccia  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Focaccia..-.Unit.of.time",Bread_Focaccia_Time,Diet,Bread,Focaccia,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   French bread  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .French.bread..-.Quantity.(in.pieces/slices)",Bread_French_bread_Quantity_pieces,Diet,Bread,French_bread,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   French bread  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .French.bread..-.Quantity.(in.grams)",Bread_French_bread_Quantity_g,Diet,Bread,French,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   French bread  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .French.bread..-.Unit.of.time",Bread_French_bread_Time,Diet,Bread,French,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Gluten free bread  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Gluten.free.bread..-.Quantity.(in.pieces/slices)",Bread_Gluten_free_bread_Quantity_pieces,Diet,Bread,Gluten_free_bread,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Gluten free bread  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Gluten.free.bread..-.Quantity.(in.grams)",Bread_Gluten_free_bread_Quantity_g,Diet,Bread,Gluten,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Gluten free bread  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Gluten.free.bread..-.Unit.of.time",Bread_Gluten_free_bread_Time,Diet,Bread,Gluten,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Naan  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Naan..-.Quantity.(in.pieces/slices)",Bread_Naan_Quantity_pieces,Diet,Bread,Naan,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Naan  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Naan..-.Quantity.(in.grams)",Bread_Naan_Quantity_g,Diet,Bread,Naan,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Naan  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Naan..-.Unit.of.time",Bread_Naan_Time,Diet,Bread,Naan,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Paratha  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Paratha..-.Quantity.(in.pieces/slices)",Bread_Paratha_Quantity_pieces,Diet,Bread,Paratha,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Paratha  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Paratha..-.Quantity.(in.grams)",Bread_Paratha_Quantity_g,Diet,Bread,Paratha,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Paratha  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Paratha..-.Unit.of.time",Bread_Paratha_Time,Diet,Bread,Paratha,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pita bread  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pita.bread..-.Quantity.(in.pieces/slices)",Bread_Pita_Quantity_pieces,Diet,Bread,Pita,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pita bread  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pita.bread..-.Quantity.(in.grams)",Bread_Pita_Quantity_g,Diet,Bread,Pita,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pita bread  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pita.bread..-.Unit.of.time",Bread_Pita_Time,Diet,Bread,Pita,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pizza bread/dough  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pizza.bread/dough..-.Quantity.(in.pieces/slices)",Bread_Pizza_Quantity_pieces,Diet,Bread,Pizza,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pizza bread/dough  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pizza.bread/dough..-.Quantity.(in.grams)",Bread_Pizza_Quantity_g,Diet,Bread,Pizza,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pizza bread/dough  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pizza.bread/dough..-.Unit.of.time",Bread_Pizza_Time,Diet,Bread,Pizza,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pretzel  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pretzel..-.Quantity.(in.pieces/slices)",Bread_Pretzel_Quantity_pieces,Diet,Bread,Pretzel,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pretzel  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pretzel..-.Quantity.(in.grams)",Bread_Pretzel_Quantity_g,Diet,Bread,Pretzel,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Pretzel  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Pretzel..-.Unit.of.time",Bread_Pretzel_Time,Diet,Bread,Pretzel,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Raisin bread  - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Raisin.bread..-.Quantity.(in.pieces/slices)",Bread_Raisin_Quantity_pieces,Diet,Bread,Raisin,Quantity,pieces,
71 - Q47 - Quantity (in grams),X71...Q47...Quantity.(in.grams),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Raisin bread  - Quantity (in grams)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Raisin.bread..-.Quantity.(in.grams)",Bread_Raisin_Quantity_g,Diet,Bread,Raisin,Quantity,g,
71 - Q47 - Unit of time,X71...Q47...Unit.of.time,"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Raisin bread  - Unit of time","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Raisin.bread..-.Unit.of.time",Bread_Raisin_Time,Diet,Bread,Raisin,Time,,
71 - Q47 - Quantity (in pieces/slices),X71...Q47...Quantity.(in.pieces/slices),"How much of the following BREADS do you consume? Please indicate the quantity as number of pieces per unit of time or grams per unit of time. Fill in the quantity column of your choice using numerical values only. In the last column, indicate if you consume the bread daily, weekly or monthly with &#39;d&#39;, &#39;w&#39; and &#39;m&#39; respectively.   Sandwich - Quantity (in pieces/slices)","How much of.the following.BREADS.do.you.consume?.Please.indicate.the.quantity.as.number.of pieces per.unit.of.time or.grams per.unit.of.time..Fill.in.the.quantity column.of.your.choice.using.numerical.values.only. In.the.last.column,.indicate.if.you.consume.the.bread.daily,.weekly.or.monthly.with.&#39;d&#39;,.&#39;w&#39;.and.&#39;m&#39;.respectively.  .Sandwich.-.Quantity.(in.pieces/slices)",Bread_Sandwich_Quantity_pieces,Diet,Bread,Sandwich,Quantity,pieces,
